ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
A2A6F416-CA20-4931-A68E-2AA97CE29F94,PS,1,0,0,59,60,,1,1
A2A6F416-CA20-4931-A68E-2AA97CE29F94,G,14,0,0,59,60,,1,14
A2A6F416-CA20-4931-A68E-2AA97CE29F94,Bt,1,0,0,59,60,,1,1
A2A6F416-CA20-4931-A68E-2AA97CE29F94,O,9,0,0,59,60,,1,9
A2A6F416-CA20-4931-A68E-2AA97CE29F94,P,12,0,0,59,60,,1,12
A2A6F416-CA20-4931-A68E-2AA97CE29F94,B,6,0,1,59,60,1,1,7
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,MC,4,0,0,46,46,,0,4
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,OSO,1,0,0,46,46,,0,1
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,G,12,0,0,46,46,,0,12
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,O,7,0,0,46,46,,0,7
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,P,11,0,0,46,46,,0,11
46131FB4-E704-4C5D-BFE6-B794F4DF46E2,B,11,0,0,46,46,,0,11
D5E27054-89E2-440B-B873-85B255D35F86,PSV,1,0,0,44,44,,0,1
D5E27054-89E2-440B-B873-85B255D35F86,G,10,0,0,44,44,,0,10
D5E27054-89E2-440B-B873-85B255D35F86,O,7,0,0,44,44,,0,7
D5E27054-89E2-440B-B873-85B255D35F86,Ow,2,0,0,44,44,,0,2
D5E27054-89E2-440B-B873-85B255D35F86,P,8,0,0,44,44,,0,8
D5E27054-89E2-440B-B873-85B255D35F86,B,16,0,0,44,44,,0,16

DF219E32-3744-4ABE-B698-4F823ECD7B2B,MC,1,0,0,51,60,,9,1
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Gg,1,0,0,51,60,,9,1
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Ot,2,0,0,51,60,,9,2
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Pt,4,0,1,51,60,1,9,5
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Bg,1,0,0,51,60,,9,1
DF219E32-3744-4ABE-B698-4F823ECD7B2B,G,11,0,1,51,60,1,9,12
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Bt,3,0,0,51,60,,9,3
DF219E32-3744-4ABE-B698-4F823ECD7B2B,O,7,0,0,51,60,,9,7
DF219E32-3744-4ABE-B698-4F823ECD7B2B,Ow,2,0,0,51,60,,9,2
DF219E32-3744-4ABE-B698-4F823ECD7B2B,P,8,0,2,51,60,2,9,10
DF219E32-3744-4ABE-B698-4F823ECD7B2B,MT,1,0,0,51,60,,9,1
DF219E32-3744-4ABE-B698-4F823ECD7B2B,B,10,0,4,51,60,4,9,14
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Gt,3,0,0,80,79,,-1,3
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Gg,3,0,0,80,79,,-1,3
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,R,10,0,0,80,79,,-1,10
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Ot,4,0,0,80,79,,-1,4
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Rg,1,0,0,80,79,,-1,1
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Rt,2,0,0,80,79,,-1,2
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Pt,1,0,0,80,79,,-1,1
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Bg,2,0,0,80,79,,-1,2
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,GSG,1,1,0,80,79,1,-1,0
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,G,11,0,0,80,79,,-1,11
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Bt,3,0,0,80,79,,-1,3
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,Pg,1,0,0,80,79,,-1,1
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,O,15,0,0,80,79,,-1,15
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,P,9,0,0,80,79,,-1,9
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,MT,4,0,0,80,79,,-1,4
E2FEACBC-CEC7-4FF8-95A6-0F550869838F,B,10,0,0,80,79,,-1,10
F0DA5F42-DF8A-462E-9FCC-AC683855E501,MC,20,0,0,48,48,,0,20
F0DA5F42-DF8A-462E-9FCC-AC683855E501,G,9,0,0,48,48,,0,9
F0DA5F42-DF8A-462E-9FCC-AC683855E501,O,5,0,0,48,48,,0,5
F0DA5F42-DF8A-462E-9FCC-AC683855E501,P,4,0,0,48,48,,0,4
F0DA5F42-DF8A-462E-9FCC-AC683855E501,GW,1,0,0,48,48,,0,1
F0DA5F42-DF8A-462E-9FCC-AC683855E501,B,9,0,0,48,48,,0,9
IMG_0048,Gt,2,0,0,37,37,,0,2
IMG_0048,Ot,1,0,0,37,37,,0,1
IMG_0048,G,12,0,0,37,37,,0,12
IMG_0048,Bt,1,0,0,37,37,,0,1
IMG_0048,O,7,0,0,37,37,,0,7
IMG_0048,OSV,1,0,0,37,37,,0,1
IMG_0048,P,6,0,0,37,37,,0,6
